Female Accuracy Before,Male Accuracy Before,Female Accuracy After,Male Accuracy After,Female Selection Rate Before,Male Selection Rate Before,Female Selection Rate After,Male Selection Rate After,Female False Negative Rate Before,Male False Negative Rate Before,Female False Negative Rate After,Male False Negative Rate After,Female False Positive Rate Before,Male False Positive Rate Before,Female False Positive Rate After,Male False Positive Rate After,Female True Negative Rate Before,Male True Negative Rate Before,Female True Negative Rate After,Male True Negative Rate After,Female True Positive Rate Before,Male True Positive Rate Before,Female True Positive Rate After,Male True Positive Rate After,Demographic Parity Ratio Gender Before,Demographic Parity Ratio Gender After
0.9,0.8891402714932126,0.8961538461538462,0.8778280542986425,0.5461538461538461,0.4660633484162896,0.48846153846153845,0.48642533936651583,0.10810810810810811,0.11330049261083744,0.16216216216216217,0.10344827586206896,0.08928571428571429,0.1087866108786611,0.026785714285714284,0.13807531380753138,0.9107142857142857,0.8866995073891626,0.9732142857142857,0.8619246861924686,0.8918918918918919,0.8866995073891626,0.8378378378378378,0.896551724137931,0.8533554266777135,0.9958314034275128
0.9115384615384615,0.918552036199095,0.9038461538461539,0.918552036199095,0.5192307692307693,0.4321266968325792,0.47307692307692306,0.4683257918552036,0.12162162162162163,0.11822660098522167,0.16891891891891891,0.07881773399014778,0.044642857142857144,0.0502092050209205,0.0,0.08368200836820083,0.9553571428571429,0.8817733990147784,1.0,0.9163179916317992,0.8783783783783784,0.8817733990147784,0.831081081081081,0.9211822660098522,0.8322440087145969,0.9899569583931134
0.8961538461538462,0.8914027149321267,0.9038461538461539,0.8597285067873304,0.55,0.4638009049773756,0.5423076923076923,0.5407239819004525,0.10810810810810811,0.11330049261083744,0.10810810810810811,0.06403940886699508,0.09821428571428571,0.10460251046025104,0.08035714285714286,0.20502092050209206,0.9017857142857143,0.8866995073891626,0.9196428571428571,0.7949790794979079,0.8918918918918919,0.8866995073891626,0.8918918918918919,0.9359605911330049,0.8432743726861374,0.9970796829370046
0.8846153846153846,0.8665158371040724,0.9,0.8552036199095022,0.5461538461538461,0.4479638009049774,0.5307692307692308,0.5407239819004525,0.12162162162162163,0.15763546798029557,0.12162162162162163,0.06896551724137931,0.10714285714285714,0.11297071129707113,0.07142857142857142,0.20920502092050208,0.8928571428571429,0.8423645320197044,0.9285714285714286,0.7907949790794979,0.8783783783783784,0.8423645320197044,0.8783783783783784,0.9310344827586207,0.8202154101077052,0.9815899581589959
0.8961538461538462,0.8868778280542986,0.8961538461538462,0.8778280542986425,0.5576923076923077,0.4592760180995475,0.49615384615384617,0.5,0.10135135135135136,0.12315270935960591,0.1554054054054054,0.08866995073891626,0.10714285714285714,0.10460251046025104,0.03571428571428571,0.1506276150627615,0.8928571428571429,0.8768472906403941,0.9642857142857143,0.8493723849372385,0.8986486486486487,0.8768472906403941,0.8445945945945946,0.9113300492610837,0.8235294117647058,0.9923076923076923
0.9038461538461539,0.8823529411764706,0.9,0.8687782805429864,0.55,0.4638009049773756,0.5230769230769231,0.5407239819004525,0.10135135135135136,0.12315270935960591,0.12837837837837837,0.054187192118226604,0.08928571428571429,0.11297071129707113,0.0625,0.19665271966527198,0.9107142857142857,0.8768472906403941,0.9375,0.803347280334728,0.8986486486486487,0.8768472906403941,0.8716216216216216,0.9458128078817734,0.8432743726861374,0.9673640167364018
0.8961538461538462,0.8914027149321267,0.8769230769230769,0.8823529411764706,0.5576923076923077,0.4592760180995475,0.46923076923076923,0.4638009049773756,0.10135135135135136,0.11822660098522167,0.19594594594594594,0.12315270935960591,0.10714285714285714,0.100418410041841,0.026785714285714284,0.11297071129707113,0.8928571428571429,0.8817733990147784,0.9732142857142857,0.8870292887029289,0.8986486486486487,0.8817733990147784,0.8040540540540541,0.8768472906403941,0.8235294117647058,0.9884281581485054
0.9038461538461539,0.9230769230769231,0.8923076923076924,0.920814479638009,0.5038461538461538,0.4457013574660634,0.47692307692307695,0.4796380090497738,0.14189189189189189,0.09852216748768473,0.17567567567567569,0.06403940886699508,0.03571428571428571,0.058577405857740586,0.017857142857142856,0.09205020920502092,0.9642857142857143,0.9014778325123153,0.9821428571428571,0.9079497907949791,0.8581081081081081,0.9014778325123153,0.8243243243243243,0.9359605911330049,0.8845981140547823,0.9943396226415094
0.8884615384615384,0.8642533936651584,0.8961538461538462,0.8506787330316742,0.55,0.4457013574660634,0.5346153846153846,0.5407239819004525,0.11486486486486487,0.1625615763546798,0.12162162162162163,0.07389162561576355,0.10714285714285714,0.11297071129707113,0.08035714285714286,0.21338912133891214,0.8928571428571429,0.8374384236453202,0.9196428571428571,0.7866108786610879,0.8851351351351351,0.8374384236453202,0.8783783783783784,0.9261083743842364,0.8103661044837516,0.9887029288702929
0.9038461538461539,0.8868778280542986,0.8769230769230769,0.8755656108597285,0.5576923076923077,0.4592760180995475,0.47692307692307695,0.4751131221719457,0.0945945945945946,0.12315270935960591,0.1891891891891892,0.11822660098522167,0.09821428571428571,0.10460251046025104,0.03571428571428571,0.1297071129707113,0.9017857142857143,0.8768472906403941,0.9642857142857143,0.8702928870292888,0.9054054054054054,0.8768472906403941,0.8108108108108109,0.8817733990147784,0.8235294117647058,0.9962049335863377
0.8615384615384616,0.8461538461538461,0.8653846153846154,0.8461538461538461,0.5307692307692308,0.47285067873303166,0.48846153846153845,0.49547511312217196,0.1554054054054054,0.15270935960591134,0.1891891891891892,0.12807881773399016,0.11607142857142858,0.15481171548117154,0.0625,0.17573221757322174,0.8839285714285714,0.8472906403940886,0.9375,0.8242677824267782,0.8445945945945946,0.8472906403940886,0.8108108108108109,0.8719211822660099,0.8908780903665814,0.9858447488584474
0.9,0.8846153846153846,0.8846153846153846,0.8891402714932126,0.5461538461538461,0.4660633484162896,0.4846153846153846,0.48868778280542985,0.10810810810810811,0.11822660098522167,0.17567567567567569,0.08866995073891626,0.08928571428571429,0.11297071129707113,0.03571428571428571,0.1297071129707113,0.9107142857142857,0.8817733990147784,0.9642857142857143,0.8702928870292888,0.8918918918918919,0.8817733990147784,0.8243243243243243,0.9113300492610837,0.8533554266777135,0.9916666666666667
0.9038461538461539,0.8823529411764706,0.8653846153846154,0.8959276018099548,0.55,0.4638009049773756,0.4653846153846154,0.4638009049773756,0.10135135135135136,0.12315270935960591,0.20945945945945946,0.10837438423645321,0.08928571428571429,0.11297071129707113,0.03571428571428571,0.100418410041841,0.9107142857142857,0.8768472906403941,0.9642857142857143,0.899581589958159,0.8986486486486487,0.8768472906403941,0.7905405405405406,0.8916256157635468,0.8432743726861374,0.9965969859017988
0.9,0.9253393665158371,0.9038461538461539,0.9140271493212669,0.5076923076923077,0.4434389140271493,0.47307692307692306,0.4819004524886878,0.14189189189189189,0.09852216748768473,0.16891891891891891,0.06896551724137931,0.044642857142857144,0.05439330543933055,0.0,0.100418410041841,0.9553571428571429,0.9014778325123153,1.0,0.899581589958159,0.8581081081081081,0.9014778325123153,0.831081081081081,0.9310344827586207,0.8734402852049911,0.9816901408450703
0.8884615384615384,0.8914027149321267,0.8615384615384616,0.8891402714932126,0.55,0.4638009049773756,0.46153846153846156,0.4660633484162896,0.11486486486486487,0.11330049261083744,0.21621621621621623,0.11330049261083744,0.10714285714285714,0.10460251046025104,0.03571428571428571,0.1087866108786611,0.8928571428571429,0.8866995073891626,0.9642857142857143,0.891213389121339,0.8851351351351351,0.8866995073891626,0.7837837837837838,0.8866995073891626,0.8432743726861374,0.9902912621359223
0.8961538461538462,0.8914027149321267,0.8692307692307693,0.8868778280542986,0.55,0.4638009049773756,0.46153846153846156,0.4638009049773756,0.10810810810810811,0.11330049261083744,0.20945945945945946,0.11822660098522167,0.09821428571428571,0.10460251046025104,0.026785714285714284,0.1087866108786611,0.9017857142857143,0.8866995073891626,0.9732142857142857,0.891213389121339,0.8918918918918919,0.8866995073891626,0.7905405405405406,0.8817733990147784,0.8432743726861374,0.9951219512195122
0.8961538461538462,0.8914027149321267,0.8884615384615384,0.8914027149321267,0.55,0.4638009049773756,0.4807692307692308,0.4819004524886878,0.10810810810810811,0.11330049261083744,0.17567567567567569,0.09359605911330049,0.09821428571428571,0.10460251046025104,0.026785714285714284,0.12133891213389121,0.9017857142857143,0.8866995073891626,0.9732142857142857,0.8786610878661087,0.8918918918918919,0.8866995073891626,0.8243243243243243,0.9064039408866995,0.8432743726861374,0.9976525821596244
0.8961538461538462,0.8868778280542986,0.8807692307692307,0.8914027149321267,0.55,0.4638009049773756,0.47307692307692306,0.4638009049773756,0.10810810810810811,0.11822660098522167,0.1891891891891892,0.11330049261083744,0.09821428571428571,0.1087866108786611,0.026785714285714284,0.10460251046025104,0.9017857142857143,0.8817733990147784,0.9732142857142857,0.895397489539749,0.8918918918918919,0.8817733990147784,0.8108108108108109,0.8866995073891626,0.8432743726861374,0.9803921568627452
0.8961538461538462,0.9230769230769231,0.8961538461538462,0.920814479638009,0.5192307692307693,0.43665158371040724,0.4807692307692308,0.47058823529411764,0.13513513513513514,0.10837438423645321,0.16891891891891891,0.07389162561576355,0.0625,0.0502092050209205,0.017857142857142856,0.08368200836820083,0.9375,0.8916256157635468,0.9821428571428571,0.9163179916317992,0.8648648648648649,0.8916256157635468,0.831081081081081,0.9261083743842364,0.840958605664488,0.9788235294117646
0.9153846153846154,0.8755656108597285,0.8961538461538462,0.8778280542986425,0.5538461538461539,0.46153846153846156,0.5038461538461538,0.49547511312217196,0.08783783783783784,0.1330049261083744,0.14864864864864866,0.09359605911330049,0.08035714285714286,0.11715481171548117,0.044642857142857144,0.14644351464435146,0.9196428571428571,0.8669950738916257,0.9553571428571429,0.8535564853556485,0.9121621621621622,0.8669950738916257,0.8513513513513513,0.9064039408866995,0.8333333333333334,0.983385720700494
0.9,0.8846153846153846,0.8692307692307693,0.8891402714932126,0.5615384615384615,0.45701357466063347,0.46923076923076923,0.4660633484162896,0.0945945945945946,0.12807881773399016,0.20270270270270271,0.11330049261083744,0.10714285714285714,0.10460251046025104,0.03571428571428571,0.1087866108786611,0.8928571428571429,0.8719211822660099,0.9642857142857143,0.891213389121339,0.9054054054054054,0.8719211822660099,0.7972972972972973,0.8866995073891626,0.813859790491539,0.9932497589199615
0.9038461538461539,0.920814479638009,0.8923076923076924,0.9117647058823529,0.5115384615384615,0.43891402714932126,0.46923076923076923,0.4751131221719457,0.13513513513513514,0.10837438423645321,0.18243243243243243,0.07881773399014778,0.044642857142857144,0.05439330543933055,0.008928571428571428,0.09623430962343096,0.9553571428571429,0.8916256157635468,0.9910714285714286,0.9037656903765691,0.8648648648648649,0.8916256157635468,0.8175675675675675,0.9211822660098522,0.8580274214949138,0.9876190476190476
0.9038461538461539,0.8868778280542986,0.8923076923076924,0.8710407239819005,0.55,0.4638009049773756,0.5307692307692308,0.5384615384615384,0.10135135135135136,0.11822660098522167,0.12837837837837837,0.054187192118226604,0.08928571428571429,0.1087866108786611,0.08035714285714286,0.19246861924686193,0.9107142857142857,0.8817733990147784,0.9196428571428571,0.8075313807531381,0.8986486486486487,0.8817733990147784,0.8716216216216216,0.9458128078817734,0.8432743726861374,0.9857142857142858
0.8923076923076924,0.8914027149321267,0.8846153846153846,0.8823529411764706,0.5461538461538461,0.45475113122171945,0.4846153846153846,0.4819004524886878,0.11486486486486487,0.12315270935960591,0.17567567567567569,0.10344827586206896,0.09821428571428571,0.09623430962343096,0.03571428571428571,0.1297071129707113,0.9017857142857143,0.8768472906403941,0.9642857142857143,0.8702928870292888,0.8851351351351351,0.8768472906403941,0.8243243243243243,0.896551724137931,0.8326429163214583,0.9943977591036415
0.9,0.8846153846153846,0.8923076923076924,0.8914027149321267,0.5538461538461539,0.46153846153846156,0.46923076923076923,0.4638009049773756,0.10135135135135136,0.12315270935960591,0.18243243243243243,0.11330049261083744,0.09821428571428571,0.1087866108786611,0.008928571428571428,0.10460251046025104,0.9017857142857143,0.8768472906403941,0.9910714285714286,0.895397489539749,0.8986486486486487,0.8768472906403941,0.8175675675675675,0.8866995073891626,0.8333333333333334,0.9884281581485054
0.8884615384615384,0.8914027149321267,0.8769230769230769,0.8914027149321267,0.5576923076923077,0.4592760180995475,0.46153846153846156,0.4638009049773756,0.10810810810810811,0.11822660098522167,0.20270270270270271,0.11330049261083744,0.11607142857142858,0.100418410041841,0.017857142857142856,0.10460251046025104,0.8839285714285714,0.8817733990147784,0.9821428571428571,0.895397489539749,0.8918918918918919,0.8817733990147784,0.7972972972972973,0.8866995073891626,0.8235294117647058,0.9951219512195122
0.8730769230769231,0.8733031674208145,0.9038461538461539,0.8552036199095022,0.55,0.4457013574660634,0.5346153846153846,0.5361990950226244,0.12837837837837837,0.15270935960591134,0.11486486486486487,0.07389162561576355,0.125,0.10460251046025104,0.07142857142857142,0.20502092050209206,0.875,0.8472906403940886,0.9285714285714286,0.7949790794979079,0.8716216216216216,0.8472906403940886,0.8851351351351351,0.9261083743842364,0.8103661044837516,0.9970464135021098
0.8961538461538462,0.8914027149321267,0.8846153846153846,0.8755656108597285,0.5423076923076923,0.4683257918552036,0.49230769230769234,0.48868778280542985,0.11486486486486487,0.10837438423645321,0.16891891891891891,0.10344827586206896,0.08928571428571429,0.1087866108786611,0.044642857142857144,0.14225941422594143,0.9107142857142857,0.8916256157635468,0.9553571428571429,0.8577405857740585,0.8851351351351351,0.8916256157635468,0.831081081081081,0.896551724137931,0.8635794743429287,0.9926470588235293
0.9115384615384615,0.8823529411764706,0.8884615384615384,0.8823529411764706,0.55,0.4638009049773756,0.4807692307692308,0.4819004524886878,0.0945945945945946,0.12315270935960591,0.17567567567567569,0.10344827586206896,0.08035714285714286,0.11297071129707113,0.026785714285714284,0.1297071129707113,0.9196428571428571,0.8768472906403941,0.9732142857142857,0.8702928870292888,0.9054054054054054,0.8768472906403941,0.8243243243243243,0.896551724137931,0.8432743726861374,0.9976525821596244
0.9038461538461539,0.8868778280542986,0.8653846153846154,0.8846153846153846,0.55,0.4638009049773756,0.4653846153846154,0.46153846153846156,0.10135135135135136,0.11822660098522167,0.20945945945945946,0.12315270935960591,0.08928571428571429,0.1087866108786611,0.03571428571428571,0.1087866108786611,0.9107142857142857,0.8817733990147784,0.9642857142857143,0.891213389121339,0.8986486486486487,0.8817733990147784,0.7905405405405406,0.8768472906403941,0.8432743726861374,0.9917355371900827
0.9038461538461539,0.8868778280542986,0.9076923076923077,0.8642533936651584,0.5576923076923077,0.4592760180995475,0.5384615384615384,0.5407239819004525,0.0945945945945946,0.12315270935960591,0.10810810810810811,0.059113300492610835,0.09821428571428571,0.10460251046025104,0.07142857142857142,0.200836820083682,0.9017857142857143,0.8768472906403941,0.9285714285714286,0.799163179916318,0.9054054054054054,0.8768472906403941,0.8918918918918919,0.9408866995073891,0.8235294117647058,0.99581589958159
0.9115384615384615,0.916289592760181,0.9115384615384615,0.916289592760181,0.5115384615384615,0.43891402714932126,0.4807692307692308,0.4751131221719457,0.12837837837837837,0.11330049261083744,0.1554054054054054,0.07389162561576355,0.03571428571428571,0.058577405857740586,0.0,0.09205020920502092,0.9642857142857143,0.8866995073891626,1.0,0.9079497907949791,0.8716216216216216,0.8866995073891626,0.8445945945945946,0.9261083743842364,0.8580274214949138,0.988235294117647
